date,description,amount,category,account
2025-10-29,Sephora - Dior Lip Glow Oil,-37.50,Beauty,Visa
2025-10-29,Cafeneaua Poli - Pink Coffee,-9.80,Food,Revolut
2025-10-30,Zara - Soft Pink Blazer,-89.90,Shopping,Visa
2025-10-30,Cafeneaua Poli Iced Coffee,-6.75,Food,Mastercard
2025-10-31,GymOne 5 Membership Renewal,-45.00,Fitness,Revolut
2025-11-01,Shein - Custom Digital Planner,-12.30,Lifestyle,Visa
2025-11-01,Antena Play Subscription,-7.00,Software,Business
2025-11-02,Salon Appointment - Gel Nails,-95.00,Beauty,Mastercard
2025-11-03,H&M - Phone Stand,-14.99,Electronics,Visa
2025-11-03,Students Pub - Coffee Bar,-7.20,Lifestyle,Visa
2025-11-04,Casa Bunicii - Snitel Vienez,-6.25,Food,Revolut
2025-11-05,Uber - To University,-7.10,Transport,Revolut
2025-11-06,Freelance UI Kit Design (Payment),420.00,Income,Business
2025-11-06,Stradivarius - Black Midi Dress,-39.99,Shopping,Visa
2025-11-07,Artisanal Candle - Vanilla Peony,-18.50,Lifestyle,Visa
2025-11-07,Pharmacy - Ser cu Vitamin C,-23.40,Health,Revolut
2025-11-08,Airbnb - Brasov Weekend Retreat,-148.00,Travel,Mastercard
2025-11-08,Sephora - Setting Mist,-21.00,Beauty,Mastercard
2025-11-09,Perfume Gift Set,-89.00,Luxury,Visa
2025-11-10,Neata Omlette Bistro - Toast,-14.50,Food,Revolut
2025-11-11,Freelance UX Workshop Earnings,230.00,Income,Business
2025-11-11,H&M - Cozy Knit Sweater,-19.99,Shopping,Visa
2025-11-12,Rose Journal,-16.90,Lifestyle,Visa
2025-11-12,Apple iCloud 200GB,-2.99,Software,Visa
2025-11-12,Sephora - Hair Mask,-29.00,Beauty,Revolut
2025-11-13,Transparent MacBook Case,-28.50,Electronics,Visa
2025-11-13,Dior Backstage Foundation,-49.00,Beauty,Visa
2025-11-14,Nike Yoga Pants,-54.99,Fitness,Mastercard
2025-11-14,`Unirii Square Drink,-5.95,Food,Revolut
2025-11-15,Pharmacy - Migraine Relief,-8.10,Health,Visa
2025-11-15,Zara - Cashmere Scarf,-35.99,Shopping,Visa
